ramp number,stretch marker time,Stretch length,Stretch speed,Resting Discharge FPS,RD SD,Dynamic Peak,Dynamic Index,IST FPS,IST FPS SD,IST inst freq,FST FPS,FST SD,FST inst freq
1,4749.044576,2.50%,20%,10.50505050505089,0.004537631422617347,134.2281879183357,90.72728608364216,32.0,0.014485493484482428,43.50090183469354,28.0,0.02134542798632479,67.95626545357581
2,4813.294576,2.50%,20%,11.313131313131729,0.004008734782949016,250.00000000591172,202.11170644362733,34.0,0.01446904403530895,47.888293562284375,24.0,0.015211291379245824,29.43607323616544
3,4877.544576,2.50%,20%,10.606060606060996,0.004457397886497111,157.4803149691469,98.2074396174165,38.0,0.01177181595886557,59.2728753517304,26.0,0.026828625531963895,67.87892127031236
4,4942.255676,2.50%,40%,10.7070707070711,0.007836547088700827,190.4761904703829,128.07526188673646,34.0,0.015284197574658638,62.40092858364645,26.0,0.02654420506414621,62.2879385796627
5,5006.380676,2.50%,40%,11.010101010101415,0.008021358655483425,163.93442624010635,117.49184894907975,32.0,0.014242452771160707,46.4425772910266,30.0,0.014744891393978126,41.794706005725885
6,5070.505676,2.50%,40%,10.90909090909131,0.006318167538212213,204.08163265694012,149.17670468670164,38.0,0.013309783334526357,54.904927970238475,30.0,0.0126808184101286,33.6708954752016
7,5135.128816,2.50%,60%,10.808080808081206,0.003919024572918718,138.88888888866433,89.04659076494424,34.0,0.014578005782499358,49.842298123720084,26.0,0.016789543977747422,41.418546400383086
8,5199.212116,2.50%,60%,11.212121212121625,0.00356542216413315,333.3333332654244,277.06600570094895,36.0,0.01357323983068,56.26732756447548,26.0,0.015182794489704794,33.39600898709846
9,5263.295416,2.50%,60%,11.010101010101415,0.003705033746312293,175.43859650027542,122.73943015506929,40.0,0.011883453833081405,52.69916634520614,32.0,0.013546654049558796,36.06412288272941
10,5327.858939,5.00%,20%,11.414141414141833,0.007233513881932464,298.50746269058686,214.90657147216908,52.0,0.01063288012702264,83.60089121841779,40.0,0.013500837937143302,66.39055828193494
11,5392.358939,5.00%,20%,11.313131313131729,0.0035599582545655247,294.1176470933151,229.06638480017136,48.0,0.009175094373979297,65.05126229314374,32.0,0.011338440131347768,44.917067310357346
12,5456.858939,5.00%,20%,11.414141414141833,0.0037493222819258627,303.03030308549074,264.86142215559875,32.0,0.011570110670865772,38.168880929892,36.0,0.01148027293530158,54.93140331546245
13,5521.864065,5.00%,40%,10.808080808081206,0.00421119359026976,229.88505751094615,187.5660211093979,34.0,0.011836551944593992,42.31903640154826,30.0,0.016986562009326002,57.558085269653354
14,5586.114065,5.00%,40%,11.515151515151938,0.0034238951303752437,116.2790697658875,64.51099271551361,34.0,0.008291518157566733,51.76807705037389,30.0,0.011149248106318581,46.58005683839367
15,5650.364065,5.00%,40%,11.414141414141833,0.0039417244495602455,86.20689654632773,52.52130719613665,32.0,0.005605044463498732,33.68558935019108,26.0,0.0009226922273477853,25.50434698477749
16,5715.121175,5.00%,60%,11.414141414141833,0.00392215669018097,48.780487803596856,18.60977006533681,30.0,0.0015131277393850714,30.170717738260045,24.0,0.010836687781996613,24.239101252987435
17,5779.287775,5.00%,60%,11.515151515151938,0.0036920062936021338,50.50505050496884,20.180673833615366,32.0,0.0014369258364015799,30.324376671353477,26.0,0.0009981047128512477,25.325428971145243
18,5843.454375,5.00%,60%,11.414141414141833,0.003996275137397041,50.50505050496884,20.212523374692392,30.0,0.0012013695888383696,30.29252713027645,26.0,0.0008997534179996701,25.463743248287276
19,5908.259214,7.50%,20%,11.515151515151938,0.004158702106296562,44.8430493262657,-0.42156483727364247,44.0,0.0016675144194139146,45.26461416353934,36.0,0.000826513762811193,36.81108778268393
20,5973.009214,7.50%,20%,11.616161616162042,0.003889725548070031,38.387715930318834,-5.064515980785821,44.0,0.00179299025360665,43.452231911104654,36.0,0.0007579007718995773,35.79697839285982
21,6037.759214,7.50%,20%,11.515151515151938,0.0034697508132637534,38.61003861057877,-4.629142738477164,44.0,0.0013486218860872595,43.23918134905593,34.0,0.0006548329773407465,35.83896264794532
22,6103.021189,7.50%,40%,11.717171717172148,0.0034038361356710342,62.50000000147793,21.845846211100024,42.0,0.0011055569799528226,40.654153790377904,38.0,0.007278979715998985,55.615753043929864
23,6167.396189,7.50%,40%,11.414141414141833,0.004511120560096774,59.34718100898408,19.610404622221964,40.0,0.0010748110299628791,39.736776386762116,32.0,0.0008055411128599587,32.69888543384197
24,6231.771189,7.50%,40%,11.717171717172148,0.00343082361591855,61.34969325067385,19.970899803963725,42.0,0.0009564200066095092,41.37879344671013,34.0,0.0007978778081529226,34.44656951163397
25,6296.646289,7.50%,60%,11.919191919192357,0.00689982128426548,110.49723756209596,69.84911172086102,40.0,0.0009168015051300323,40.64812584123494,32.0,0.0006059519242582827,33.42714934328972
26,6360.896289,7.50%,60%,11.717171717172148,0.006975262193057568,175.43859647228237,127.89719042807295,44.0,0.004875353875643278,47.541406044209424,34.0,0.006561597936167356,48.63156056851142
27,6425.146289,7.50%,60%,11.919191919192357,0.0036474068511730094,70.42253520864791,29.264861839462377,42.0,0.0009059953998095342,41.15767336918554,34.0,0.00079071165005056,34.49076302398676
28,7883.461834,2.50%,20%,22.525252525253354,0.0012786982738267844,52.21932114860285,14.388959377037772,38.0,0.0010321628315341038,37.83036177156508,34.0,0.0007350940903286093,33.06773390458049
29,7947.711834,2.50%,20%,20.909090909091677,0.0027923809382778345,54.347826087167135,15.922196489368034,38.0,0.0008935285958988398,38.4256295977991,32.0,0.0005369819450294103,32.86768108321066
30,8011.961834,2.50%,20%,21.01010101010178,0.0013521698503805295,55.248618783824135,16.329665561670765,38.0,0.000525130243646961,38.91895322215337,34.0,0.0006177450902449081,33.46238716076271
31,8076.727925,2.50%,40%,20.70707070707147,0.005669852562297777,65.35947712407733,26.983058360375217,38.0,0.0008265420408290712,38.37641876370211,30.0,0.007690879157903167,32.402087267813506
32,8140.852925,2.50%,40%,20.808080808081574,0.008745486188073966,64.30868167171278,27.55022071250241,36.0,0.008478122262447629,36.75846095921037,30.0,0.007822017358406357,32.41300916724114
33,8204.977925,2.50%,40%,17.373737373738013,0.023951607009738467,65.78947368497893,28.179475489416447,36.0,0.006125470503288946,37.60999819556248,28.0,0.017497377354632426,29.555973571672535
34,8269.57509,2.50%,60%,15.959595959596546,0.032782037541310365,40.81632653138802,15.708666288748901,16.0,0.05058221610379869,25.10766024263912,18.0,0.032170759670588335,26.14410598985084
35,8333.65839,2.50%,60%,10.808080808081206,0.07972217136638762,40.65040650299738,18.635371110253068,18.0,0.03155576193202771,22.01503539274431,12.0,0.06646285721277458,13.329067015623865
36,8397.74169,2.50%,60%,0.0,nan,0,0,0.0,nan,0,0.0,nan,0
37,8884.517408,5.00%,20%,27.57575757575859,0.0020459768523500765,99.0099009948921,58.67098473051359,40.0,0.0010618498011437073,40.33891626437852,34.0,0.0014007412766823745,35.33308033245072
38,8948.767408,5.00%,20%,27.272727272728275,0.0020685732610021563,333.3333332654244,291.0353160307311,42.0,0.000843260597445601,42.29801723469331,34.0,0.0010185392214613024,35.81528061856753
39,9013.017408,5.00%,20%,27.474747474748483,0.002065445495620039,110.49723758430517,69.05440340716892,42.0,0.0013348800553320218,41.44283417713625,36.0,0.0011610845292572035,36.325037325390525
40,9077.744443,5.00%,40%,27.272727272728275,0.0019277434532202536,200.0000000320142,158.62410014230278,42.0,0.001181057983163249,41.375899889711434,36.0,0.0009693927078488106,36.697127263985195
41,9141.869443,5.00%,40%,26.666666666667645,0.0019799850779794984,196.07843136057627,156.6608463599554,38.0,0.000977411075222974,39.417585000620875,34.0,0.001422416920856878,34.238646451695146
