ramp number,stretch marker time,Stretch length,Stretch speed,Resting Discharge FPS,RD SD,Dynamic Peak,Dynamic Index,IST FPS,IST FPS SD,IST inst freq,FST FPS,FST SD,FST inst freq
1,1134.538963,2.50%,20%,18.888888888888715,0.004882716833414827,67.79661016926579,17.116530588964025,50.0,0.0011060126581310871,50.680079580301765,38.0,0.0014138021661321844,39.12694007611733
2,1198.788963,2.50%,20%,18.181818181818016,0.005238145014651055,69.68641115020385,4.944314130895705,56.0,0.004012516688870801,64.74209701930815,40.0,0.001129977875856483,38.80295535432428
3,1263.038963,2.50%,20%,17.878787878787715,0.0021433171236817433,68.96551724138796,17.832294707702225,52.0,0.0010560774385281748,51.13322253368573,40.0,0.001521502136047549,39.977021415762366
4,1327.799115,2.50%,40%,16.868686868686712,0.008756986116088102,75.18796992440481,24.339907126863388,52.0,0.0011587093028442288,50.848062797541424,38.0,0.002988231765737078,38.18094181472745
5,1391.924115,2.50%,40%,17.171717171717013,0.004656345049643983,78.12500000018208,28.54796562504331,48.0,0.0012834686076020282,49.57703437513877,38.0,0.0015273136483678112,37.476716489510565
6,1456.049115,2.50%,40%,17.474747474747314,0.0022259008967981564,80.32128514092135,31.26295342556221,48.0,0.00463109208381588,49.05833171535914,36.0,0.0068050322928476905,36.70450092687406
7,1520.67116,2.50%,60%,17.171717171717013,0.007530856157400305,104.71204188492446,54.7679968954143,50.0,0.001456579555005185,49.94404498951016,30.0,0.019057764821711745,34.335631602031704
8,1584.75446,2.50%,60%,16.767676767676612,0.005316250145019292,84.38818565495147,38.33832147082414,42.0,0.007118078449766948,46.04986418412733,34.0,0.011357802220543374,52.937938018248566
9,1648.83776,2.50%,60%,15.959595959595813,0.010073336678621668,84.38818565495147,36.920148611344814,46.0,0.00408222436492987,47.46803704360666,28.0,0.012512653289637554,30.338735853356788
10,1713.367353,5.00%,20%,15.454545454545313,0.01958178096378185,80.32128514092135,26.826175390698005,36.0,0.02753903234442339,53.49510975022334,18.0,0.028857681862380392,21.18105011492954
11,1777.867353,5.00%,20%,14.747474747474612,0.020418720601199054,81.96721311394262,37.56820063469225,34.0,0.014338369531822851,44.399012479250366,14.0,0.04245010396371465,22.49659248637435
12,1842.367353,5.00%,20%,14.444444444444311,0.026443236210943067,63.897763578996646,32.99937329058599,28.0,0.01043753834163696,30.89839028841065,12.0,0.05821419082909058,30.155772065113638
13,1907.372442,5.00%,40%,14.747474747474612,0.016691045892084342,82.30452674883811,35.84453102501105,40.0,0.00943417325469959,46.45999572382706,16.0,0.027726019339916422,23.251596906006114
14,1971.622442,5.00%,40%,14.848484848484713,0.0161502811590771,88.49557522208511,35.749300175661254,44.0,0.023732671473016328,52.746275046423854,18.0,0.04281461617282108,28.864561475304658
15,2035.872442,5.00%,40%,14.545454545454412,0.017432784354941964,72.46376811622284,40.58726674403895,28.0,0.012758454579817584,31.87650137218389,16.0,0.021980712425947582,16.763172821322136
16,2100.595464,5.00%,60%,14.040404040403912,0.022438846262552402,160.0000000023283,109.66281501580411,40.0,0.010027979295466586,50.3371849865242,22.0,0.031529317329093046,30.619776208512363
17,2164.762064,5.00%,60%,13.737373737373611,0.025369438318571167,157.48031495786913,109.30982424352149,38.0,0.0146127098133288,48.17049071434764,16.0,0.02760161906488182,20.849798846795633
18,2228.928664,5.00%,60%,14.040404040403912,0.021679952420137608,89.28571428637552,34.04288638790666,50.0,0.006752390983964463,55.24282789846886,22.0,0.025881489284845984,30.42502560654582
19,2293.592575,7.50%,20%,13.737373737373611,0.02709594723752458,82.30452675191859,54.21157852039234,22.0,0.023934722693435287,28.092948231526247,6.0,0.07833947848236575,11.269129991297163
20,2358.342575,7.50%,20%,13.434343434343312,0.02489077715162549,84.38818565495147,37.82447128172681,36.0,0.012567048574645879,46.56371437322466,24.0,0.026106683837140345,30.21282669874517
21,2423.092575,7.50%,20%,12.92929292929281,0.028985792289212612,85.83690987185042,34.3092713950257,36.0,0.014268930462516628,51.52763847682473,18.0,0.03984221735724104,29.11027693627604
22,2488.50537,7.50%,40%,11.91919191919181,0.038242973567579365,144.92753623483355,110.95028087097384,26.0,0.013925993107221528,33.977255363859705,8.0,0.0398707344898182,11.335486988806306
23,2552.88037,7.50%,40%,10.404040404040309,0.05139432386089879,333.3333333159519,307.7287010792865,16.0,0.04606862026846146,25.604632236665395,2.0,0.0,1.618908855432
24,2617.25537,7.50%,40%,11.11111111111101,0.04119201002973908,152.67175572376627,116.30409551959895,30.0,0.018154939334051916,36.36766020416733,8.0,0.05579573656419705,17.111014689354906
25,2682.110657,7.50%,60%,11.11111111111101,0.0475707849025402,89.6860986525314,60.26498651136829,16.0,0.03689805846855868,29.42111214116311,12.0,0.04796287337319918,12.209509796984305
26,2746.360657,7.50%,60%,10.50505050505041,0.050428964203243595,140.84507041729583,108.80966044331605,20.0,0.043469461694402384,32.03540997397978,2.0,0.0,4.17885499372849
27,2810.610657,7.50%,60%,9.292929292929207,0.059319738284390876,60.24096385569101,40.852467998963746,18.0,0.08530239601231153,19.38849585672726,8.0,2.8473639540314837,7.7274102582123145
